target,model,condition,n,correct
alphabet soup,gpt-4.1-mini-2025-04-14,label_only,2,1
alphabet soup,gpt-4.1-mini-2025-04-14,label_then_evidence,2,1
alphabet soup,gpt-5.2-2025-12-11,label_only,2,0
alphabet soup,gpt-5.2-2025-12-11,label_then_evidence,2,1
bbq sauce,gpt-4.1-mini-2025-04-14,label_only,2,2
bbq sauce,gpt-4.1-mini-2025-04-14,label_then_evidence,2,1
bbq sauce,gpt-5.2-2025-12-11,label_only,2,2
bbq sauce,gpt-5.2-2025-12-11,label_then_evidence,2,2
black bowl,gpt-4.1-mini-2025-04-14,label_only,1,1
black bowl,gpt-4.1-mini-2025-04-14,label_then_evidence,1,1
black bowl,gpt-5.2-2025-12-11,label_only,1,1
black bowl,gpt-5.2-2025-12-11,label_then_evidence,1,1
book,gpt-4.1-mini-2025-04-14,label_only,1,1
book,gpt-4.1-mini-2025-04-14,label_then_evidence,1,1
book,gpt-5.2-2025-12-11,label_only,1,1
book,gpt-5.2-2025-12-11,label_then_evidence,1,1
butter,gpt-4.1-mini-2025-04-14,label_only,2,2
butter,gpt-4.1-mini-2025-04-14,label_then_evidence,2,2
butter,gpt-5.2-2025-12-11,label_only,2,2
butter,gpt-5.2-2025-12-11,label_then_evidence,2,2
chocolate pudding,gpt-4.1-mini-2025-04-14,label_only,2,2
chocolate pudding,gpt-4.1-mini-2025-04-14,label_then_evidence,2,2
chocolate pudding,gpt-5.2-2025-12-11,label_only,2,2
chocolate pudding,gpt-5.2-2025-12-11,label_then_evidence,2,2
cookies,gpt-4.1-mini-2025-04-14,label_only,1,1
cookies,gpt-4.1-mini-2025-04-14,label_then_evidence,1,1
cookies,gpt-5.2-2025-12-11,label_only,1,1
cookies,gpt-5.2-2025-12-11,label_then_evidence,1,1
cream cheese,gpt-4.1-mini-2025-04-14,label_only,2,2
cream cheese,gpt-4.1-mini-2025-04-14,label_then_evidence,2,2
cream cheese,gpt-5.2-2025-12-11,label_only,2,2
cream cheese,gpt-5.2-2025-12-11,label_then_evidence,2,2
frying pan,gpt-4.1-mini-2025-04-14,label_only,1,1
frying pan,gpt-4.1-mini-2025-04-14,label_then_evidence,1,1
frying pan,gpt-5.2-2025-12-11,label_only,1,1
frying pan,gpt-5.2-2025-12-11,label_then_evidence,1,1
ketchup,gpt-4.1-mini-2025-04-14,label_only,2,2
ketchup,gpt-4.1-mini-2025-04-14,label_then_evidence,2,2
ketchup,gpt-5.2-2025-12-11,label_only,2,2
ketchup,gpt-5.2-2025-12-11,label_then_evidence,2,2
milk,gpt-4.1-mini-2025-04-14,label_only,2,2
milk,gpt-4.1-mini-2025-04-14,label_then_evidence,2,2
milk,gpt-5.2-2025-12-11,label_only,2,2
milk,gpt-5.2-2025-12-11,label_then_evidence,2,2
moka pot,gpt-4.1-mini-2025-04-14,label_only,1,1
moka pot,gpt-4.1-mini-2025-04-14,label_then_evidence,1,1
moka pot,gpt-5.2-2025-12-11,label_only,1,1
moka pot,gpt-5.2-2025-12-11,label_then_evidence,1,1
orange juice,gpt-4.1-mini-2025-04-14,label_only,2,2
orange juice,gpt-4.1-mini-2025-04-14,label_then_evidence,2,2
orange juice,gpt-5.2-2025-12-11,label_only,2,2
orange juice,gpt-5.2-2025-12-11,label_then_evidence,2,2
plate,gpt-4.1-mini-2025-04-14,label_only,1,1
plate,gpt-4.1-mini-2025-04-14,label_then_evidence,1,1
plate,gpt-5.2-2025-12-11,label_only,1,1
plate,gpt-5.2-2025-12-11,label_then_evidence,1,1
ramekin,gpt-4.1-mini-2025-04-14,label_only,1,1
ramekin,gpt-4.1-mini-2025-04-14,label_then_evidence,1,1
ramekin,gpt-5.2-2025-12-11,label_only,1,1
ramekin,gpt-5.2-2025-12-11,label_then_evidence,1,1
red mug,gpt-4.1-mini-2025-04-14,label_only,1,1
red mug,gpt-4.1-mini-2025-04-14,label_then_evidence,1,1
red mug,gpt-5.2-2025-12-11,label_only,1,1
red mug,gpt-5.2-2025-12-11,label_then_evidence,1,1
salad dressing,gpt-4.1-mini-2025-04-14,label_only,2,2
salad dressing,gpt-4.1-mini-2025-04-14,label_then_evidence,2,2
salad dressing,gpt-5.2-2025-12-11,label_only,2,2
salad dressing,gpt-5.2-2025-12-11,label_then_evidence,2,2
tomato sauce,gpt-4.1-mini-2025-04-14,label_only,2,0
tomato sauce,gpt-4.1-mini-2025-04-14,label_then_evidence,2,1
tomato sauce,gpt-5.2-2025-12-11,label_only,2,2
tomato sauce,gpt-5.2-2025-12-11,label_then_evidence,2,2
white mug,gpt-4.1-mini-2025-04-14,label_only,1,1
white mug,gpt-4.1-mini-2025-04-14,label_then_evidence,1,1
white mug,gpt-5.2-2025-12-11,label_only,1,1
white mug,gpt-5.2-2025-12-11,label_then_evidence,1,1
wine bottle,gpt-4.1-mini-2025-04-14,label_only,1,1
wine bottle,gpt-4.1-mini-2025-04-14,label_then_evidence,1,1
wine bottle,gpt-5.2-2025-12-11,label_only,1,1
wine bottle,gpt-5.2-2025-12-11,label_then_evidence,1,1
wooden tray,gpt-4.1-mini-2025-04-14,label_only,1,1
wooden tray,gpt-4.1-mini-2025-04-14,label_then_evidence,1,1
wooden tray,gpt-5.2-2025-12-11,label_only,1,1
wooden tray,gpt-5.2-2025-12-11,label_then_evidence,1,1
yellow and white mug,gpt-4.1-mini-2025-04-14,label_only,1,1
yellow and white mug,gpt-4.1-mini-2025-04-14,label_then_evidence,1,1
yellow and white mug,gpt-5.2-2025-12-11,label_only,1,1
yellow and white mug,gpt-5.2-2025-12-11,label_then_evidence,1,1
