target,cohort,n,label_only_correct,label_then_evidence_correct,label_only_wrong_ge_099,label_then_evidence_wrong_ge_099
alphabet soup,additional_states,10,4,6,6,1
bbq sauce,additional_states,10,10,9,0,1
black bowl,additional_objects,1,1,1,0,0
book,additional_objects,1,1,1,0,0
butter,additional_states,10,10,10,0,0
chocolate pudding,additional_states,10,10,10,0,0
cookies,additional_objects,1,1,1,0,0
cream cheese,additional_states,10,10,10,0,0
frying pan,additional_objects,1,1,1,0,0
ketchup,additional_states,10,10,10,0,0
milk,additional_states,10,10,10,0,0
moka pot,additional_objects,1,1,1,0,0
orange juice,additional_states,10,10,10,0,0
plate,additional_objects,1,1,1,0,0
ramekin,additional_objects,1,1,1,0,0
red mug,additional_objects,1,1,1,0,0
salad dressing,additional_states,10,10,10,0,0
tomato sauce,additional_states,10,2,3,7,5
white mug,additional_objects,1,1,1,0,0
wine bottle,additional_objects,1,1,1,0,0
wooden tray,additional_objects,1,1,1,0,0
yellow and white mug,additional_objects,1,1,1,0,0
