model,state,target,target_family,posthoc_identity,observed_family,same_family,own_object_match,assisted_fallback,baseline_answer,baseline_response_file,baseline_p_A,baseline_p_A_lower,baseline_p_A_upper,baseline_p_C,baseline_p_C_lower,baseline_p_C_upper,ablation_answer,ablation_response_file,ablation_p_A,ablation_p_A_lower,ablation_p_A_upper,ablation_p_C,ablation_p_C_lower,ablation_p_C_upper,p_A_change_lower,p_A_change_upper
qwen3.5:4b,original,Gear_Large,gear,Gear_Large,gear,True,True,False,A,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/Gear_Large/Gear_Large.json,0.6104155105475253,0.6104155105475253,0.6104155105475253,0.246117946932092,0.246117946932092,0.246117946932092,A,qwen3.5-4b/responses/original/Gear_Large/Gear_Large.json,0.7165725184340198,0.7165725184340198,0.7165725184340198,0.15939019410649044,0.15939019410649044,0.15939019410649044,0.10615700788649451,0.10615700788649451
qwen3.5:4b,original,Gear_Medium,gear,Gear_Large,gear,True,False,False,A,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/Gear_Medium/Gear_Large.json,0.49734177923198464,0.49734177923198464,0.49734177923198464,0.33961077348227164,0.33961077348227164,0.33961077348227164,A,qwen3.5-4b/responses/original/Gear_Medium/Gear_Large.json,0.7165725184340198,0.7165725184340198,0.7165725184340198,0.15939019410649044,0.15939019410649044,0.15939019410649044,0.21923073920203517,0.21923073920203517
qwen3.5:4b,original,Gear_Small,gear,Gear_Large,gear,True,False,False,A,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/Gear_Small/Gear_Large.json,0.46311089382856313,0.46311089382856313,0.46311089382856313,0.36795801516119186,0.36795801516119186,0.36795801516119186,A,qwen3.5-4b/responses/original/Gear_Small/Gear_Large.json,0.7165725184340198,0.7165725184340198,0.7165725184340198,0.15939019410649044,0.15939019410649044,0.15939019410649044,0.2534616246054567,0.2534616246054567
qwen3.5:4b,original,Waterproof_Male,Waterproof_Male,Gear_Large,gear,False,False,False,C,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/Waterproof_Male/Gear_Large.json,0.0803495727985102,0.0803495727985102,0.0803495727985102,0.6118881638988691,0.6118881638988691,0.6118881638988691,C,qwen3.5-4b/responses/original/Waterproof_Male/Gear_Large.json,0.07409523026952135,0.07409523026952135,0.07409523026952135,0.6743312503515486,0.6743312503515486,0.6743312503515486,-0.006254342528988849,-0.006254342528988849
qwen3.5:4b,original,M12_Hex_Nut,hex_nut,Gear_Large,gear,False,False,False,C,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/M12_Hex_Nut/Gear_Large.json,0.11518332082603552,0.11518332082603552,0.11518332082603552,0.6174135752584132,0.6174135752584132,0.6174135752584132,C,qwen3.5-4b/responses/original/M12_Hex_Nut/Gear_Large.json,0.03509906578170005,0.03509906578170005,0.03509906578170005,0.5023301718981509,0.5023301718981509,0.5023301718981509,-0.08008425504433547,-0.08008425504433547
qwen3.5:4b,original,M16_Hex_Nut,hex_nut,Gear_Large,gear,False,False,False,C,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/M16_Hex_Nut/Gear_Large.json,0.12733949853467721,0.12733949853467721,0.12733949853467721,0.6376357603881855,0.6376357603881855,0.6376357603881855,C,qwen3.5-4b/responses/original/M16_Hex_Nut/Gear_Large.json,0.03509906578170005,0.03509906578170005,0.03509906578170005,0.5023301718981509,0.5023301718981509,0.5023301718981509,-0.09224043275297716,-0.09224043275297716
qwen3.5:4b,original,RGOCG16-50_16mm,round_pin,Gear_Large,gear,False,False,False,C,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/RGOCG16-50_16mm/Gear_Large.json,0.18821797024990736,0.18821797024990736,0.18821797024990736,0.5998005779439446,0.5998005779439446,0.5998005779439446,C,qwen3.5-4b/responses/original/RGOCG16-50_16mm/Gear_Large.json,0.03867484614244319,0.03867484614244319,0.03867484614244319,0.804959481901695,0.804959481901695,0.804959481901695,-0.14954312410746418,-0.14954312410746418
qwen3.5:4b,original,RGOCG12-50_12mm,round_pin,Gear_Large,gear,False,False,False,C,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/RGOCG12-50_12mm/Gear_Large.json,0.20766234992109728,0.20766234992109728,0.20766234992109728,0.5895553253615066,0.5895553253615066,0.5895553253615066,C,qwen3.5-4b/responses/original/RGOCG12-50_12mm/Gear_Large.json,0.03867484614244319,0.03867484614244319,0.03867484614244319,0.804959481901695,0.804959481901695,0.804959481901695,-0.1689875037786541,-0.1689875037786541
qwen3.5:4b,original,RGOCG8-50_8mm,round_pin,Gear_Large,gear,False,False,False,C,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/RGOCG8-50_8mm/Gear_Large.json,0.15487183643690802,0.15487183643690802,0.15487183643690802,0.6382973707101339,0.6382973707101339,0.6382973707101339,C,qwen3.5-4b/responses/original/RGOCG8-50_8mm/Gear_Large.json,0.03867484614244319,0.03867484614244319,0.03867484614244319,0.804959481901695,0.804959481901695,0.804959481901695,-0.11619699029446484,-0.11619699029446484
qwen3.5:4b,original,USB_Male,USB_Male,Gear_Large,gear,False,False,False,C,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/USB_Male/Gear_Large.json,0.04035512038637085,0.04035512038637085,0.04035512038637085,0.8185350853985431,0.8185350853985431,0.8185350853985431,C,qwen3.5-4b/responses/original/USB_Male/Gear_Large.json,0.015506473340565038,0.015506473340565038,0.015506473340565038,0.918087718300437,0.918087718300437,0.918087718300437,-0.024848647045805815,-0.024848647045805815
qwen3.5:4b,original,DSUB_Male,DSUB_Male,Gear_Large,gear,False,False,False,C,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/DSUB_Male/Gear_Large.json,0.07201893309958247,0.07201893309958247,0.07201893309958247,0.8155263657455778,0.8155263657455778,0.8155263657455778,C,qwen3.5-4b/responses/original/DSUB_Male/Gear_Large.json,0.022194173872493894,0.022194173872493894,0.022194173872493894,0.951922355301152,0.951922355301152,0.951922355301152,-0.04982475922708858,-0.04982475922708858
qwen3.5:4b,original,Gear_Large,gear,Gear_Medium,gear,True,False,False,A,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/Gear_Large/Gear_Medium.json,0.8254046422493737,0.8254046422493737,0.8254046422493737,0.07898508388894224,0.07898508388894224,0.07898508388894224,A,qwen3.5-4b/responses/original/Gear_Large/Gear_Medium.json,0.9185423268161821,0.9185423268161821,0.9185423268161821,0.04241463253041264,0.04241463253041264,0.04241463253041264,0.09313768456680838,0.09313768456680838
qwen3.5:4b,original,Gear_Medium,gear,Gear_Medium,gear,True,True,False,A,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/Gear_Medium/Gear_Medium.json,0.8425060462755548,0.8425060462755548,0.8425060462755548,0.07244963671072385,0.07244963671072385,0.07244963671072385,A,qwen3.5-4b/responses/original/Gear_Medium/Gear_Medium.json,0.9185423268161821,0.9185423268161821,0.9185423268161821,0.04241463253041264,0.04241463253041264,0.04241463253041264,0.07603628054062728,0.07603628054062728
qwen3.5:4b,original,Gear_Small,gear,Gear_Medium,gear,True,False,False,A,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/Gear_Small/Gear_Medium.json,0.8009448051659074,0.8009448051659074,0.8009448051659074,0.10108176523093997,0.10108176523093997,0.10108176523093997,A,qwen3.5-4b/responses/original/Gear_Small/Gear_Medium.json,0.9185423268161821,0.9185423268161821,0.9185423268161821,0.04241463253041264,0.04241463253041264,0.04241463253041264,0.1175975216502747,0.1175975216502747
qwen3.5:4b,original,Waterproof_Male,Waterproof_Male,Gear_Medium,gear,False,False,False,C,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/Waterproof_Male/Gear_Medium.json,0.06800005758353171,0.06800005758353171,0.06800005758353171,0.5556615572617356,0.5556615572617356,0.5556615572617356,C,qwen3.5-4b/responses/original/Waterproof_Male/Gear_Medium.json,0.06878008620848719,0.06878008620848719,0.06878008620848719,0.6175118593946571,0.6175118593946571,0.6175118593946571,0.0007800286249554783,0.0007800286249554783
qwen3.5:4b,original,M12_Hex_Nut,hex_nut,Gear_Medium,gear,False,False,False,C,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/M12_Hex_Nut/Gear_Medium.json,0.0618094928462194,0.0618094928462194,0.0618094928462194,0.5997770543127914,0.5997770543127914,0.5997770543127914,B,qwen3.5-4b/responses/original/M12_Hex_Nut/Gear_Medium.json,0.05404230777263712,0.05404230777263712,0.05404230777263712,0.19411742845520996,0.19411742845520996,0.19411742845520996,-0.007767185073582282,-0.007767185073582282
qwen3.5:4b,original,M16_Hex_Nut,hex_nut,Gear_Medium,gear,False,False,False,C,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/M16_Hex_Nut/Gear_Medium.json,0.08909369234149986,0.08909369234149986,0.08909369234149986,0.7056382255376966,0.7056382255376966,0.7056382255376966,B,qwen3.5-4b/responses/original/M16_Hex_Nut/Gear_Medium.json,0.05404230777263712,0.05404230777263712,0.05404230777263712,0.19411742845520996,0.19411742845520996,0.19411742845520996,-0.03505138456886274,-0.03505138456886274
qwen3.5:4b,original,RGOCG16-50_16mm,round_pin,Gear_Medium,gear,False,False,False,C,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/RGOCG16-50_16mm/Gear_Medium.json,0.13466827479481752,0.13466827479481752,0.13466827479481752,0.5688246546803403,0.5688246546803403,0.5688246546803403,C,qwen3.5-4b/responses/original/RGOCG16-50_16mm/Gear_Medium.json,0.06509012248902392,0.06509012248902392,0.06509012248902392,0.5229682385116562,0.5229682385116562,0.5229682385116562,-0.0695781523057936,-0.0695781523057936
qwen3.5:4b,original,RGOCG12-50_12mm,round_pin,Gear_Medium,gear,False,False,False,C,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/RGOCG12-50_12mm/Gear_Medium.json,0.1378452760074517,0.1378452760074517,0.1378452760074517,0.5454195738808808,0.5454195738808808,0.5454195738808808,C,qwen3.5-4b/responses/original/RGOCG12-50_12mm/Gear_Medium.json,0.06509012248902392,0.06509012248902392,0.06509012248902392,0.5229682385116562,0.5229682385116562,0.5229682385116562,-0.07275515351842778,-0.07275515351842778
qwen3.5:4b,original,RGOCG8-50_8mm,round_pin,Gear_Medium,gear,False,False,False,C,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/RGOCG8-50_8mm/Gear_Medium.json,0.14548423834718324,0.14548423834718324,0.14548423834718324,0.6226581883953927,0.6226581883953927,0.6226581883953927,C,qwen3.5-4b/responses/original/RGOCG8-50_8mm/Gear_Medium.json,0.06509012248902392,0.06509012248902392,0.06509012248902392,0.5229682385116562,0.5229682385116562,0.5229682385116562,-0.08039411585815932,-0.08039411585815932
qwen3.5:4b,original,USB_Male,USB_Male,Gear_Medium,gear,False,False,False,C,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/USB_Male/Gear_Medium.json,0.020088264777826013,0.020088264777826013,0.020088264777826013,0.7756787576449431,0.7756787576449431,0.7756787576449431,C,qwen3.5-4b/responses/original/USB_Male/Gear_Medium.json,0.01980505604721256,0.01980505604721256,0.01980505604721256,0.8080902077960905,0.8080902077960905,0.8080902077960905,-0.00028320873061345175,-0.00028320873061345175
qwen3.5:4b,original,DSUB_Male,DSUB_Male,Gear_Medium,gear,False,False,False,C,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/DSUB_Male/Gear_Medium.json,0.052187422513735184,0.052187422513735184,0.052187422513735184,0.5879108813279114,0.5879108813279114,0.5879108813279114,C,qwen3.5-4b/responses/original/DSUB_Male/Gear_Medium.json,0.02716161934816493,0.02716161934816493,0.02716161934816493,0.889505801945076,0.889505801945076,0.889505801945076,-0.025025803165570255,-0.025025803165570255
qwen3.5:4b,original,Gear_Large,gear,Gear_Small,gear,True,False,False,A,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/Gear_Large/Gear_Small.json,0.8348908974973622,0.8348908974973622,0.8348908974973622,0.07294193369053474,0.07294193369053474,0.07294193369053474,A,qwen3.5-4b/responses/original/Gear_Large/Gear_Small.json,0.9387978900574507,0.9387978900574507,0.9387978900574507,0.03024629399159694,0.03024629399159694,0.03024629399159694,0.1039069925600885,0.1039069925600885
qwen3.5:4b,original,Gear_Medium,gear,Gear_Small,gear,True,False,False,A,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/Gear_Medium/Gear_Small.json,0.772917684753256,0.772917684753256,0.772917684753256,0.0973710350637934,0.0973710350637934,0.0973710350637934,A,qwen3.5-4b/responses/original/Gear_Medium/Gear_Small.json,0.9387978900574507,0.9387978900574507,0.9387978900574507,0.03024629399159694,0.03024629399159694,0.03024629399159694,0.16588020530419478,0.16588020530419478
qwen3.5:4b,original,Gear_Small,gear,Gear_Small,gear,True,True,False,A,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/Gear_Small/Gear_Small.json,0.7839611796920684,0.7839611796920684,0.7839611796920684,0.09624378712591646,0.09624378712591646,0.09624378712591646,A,qwen3.5-4b/responses/original/Gear_Small/Gear_Small.json,0.9387978900574507,0.9387978900574507,0.9387978900574507,0.03024629399159694,0.03024629399159694,0.03024629399159694,0.15483671036538238,0.15483671036538238
qwen3.5:4b,original,Waterproof_Male,Waterproof_Male,Gear_Small,gear,False,False,False,C,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/Waterproof_Male/Gear_Small.json,0.21386414380419289,0.21386414380419289,0.21386414380419289,0.5714727129683072,0.5714727129683072,0.5714727129683072,A,qwen3.5-4b/responses/original/Waterproof_Male/Gear_Small.json,0.4241194153581057,0.4241194153581057,0.4241194153581057,0.280166543703196,0.280166543703196,0.280166543703196,0.21025527155391283,0.21025527155391283
qwen3.5:4b,original,M12_Hex_Nut,hex_nut,Gear_Small,gear,False,False,False,C,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/M12_Hex_Nut/Gear_Small.json,0.25808203920892336,0.25808203920892336,0.25808203920892336,0.4783245800121259,0.4783245800121259,0.4783245800121259,B,qwen3.5-4b/responses/original/M12_Hex_Nut/Gear_Small.json,0.1418473043006798,0.1418473043006798,0.1418473043006798,0.21377714845822143,0.21377714845822143,0.21377714845822143,-0.11623473490824357,-0.11623473490824357
qwen3.5:4b,original,M16_Hex_Nut,hex_nut,Gear_Small,gear,False,False,False,C,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/M16_Hex_Nut/Gear_Small.json,0.37006720705585733,0.37006720705585733,0.37006720705585733,0.39176225621105126,0.39176225621105126,0.39176225621105126,B,qwen3.5-4b/responses/original/M16_Hex_Nut/Gear_Small.json,0.1418473043006798,0.1418473043006798,0.1418473043006798,0.21377714845822143,0.21377714845822143,0.21377714845822143,-0.22821990275517753,-0.22821990275517753
qwen3.5:4b,original,RGOCG16-50_16mm,round_pin,Gear_Small,gear,False,False,False,C,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/RGOCG16-50_16mm/Gear_Small.json,0.2378215981059641,0.2378215981059641,0.2378215981059641,0.500506865465046,0.500506865465046,0.500506865465046,C,qwen3.5-4b/responses/original/RGOCG16-50_16mm/Gear_Small.json,0.1465881469954758,0.1465881469954758,0.1465881469954758,0.49371368244407626,0.49371368244407626,0.49371368244407626,-0.0912334511104883,-0.0912334511104883
qwen3.5:4b,original,RGOCG12-50_12mm,round_pin,Gear_Small,gear,False,False,False,C,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/RGOCG12-50_12mm/Gear_Small.json,0.18714362993855066,0.18714362993855066,0.18714362993855066,0.5593848079050855,0.5593848079050855,0.5593848079050855,C,qwen3.5-4b/responses/original/RGOCG12-50_12mm/Gear_Small.json,0.1465881469954758,0.1465881469954758,0.1465881469954758,0.49371368244407626,0.49371368244407626,0.49371368244407626,-0.04055548294307487,-0.04055548294307487
qwen3.5:4b,original,RGOCG8-50_8mm,round_pin,Gear_Small,gear,False,False,False,C,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/RGOCG8-50_8mm/Gear_Small.json,0.33887713303113143,0.33887713303113143,0.33887713303113143,0.4822031758372499,0.4822031758372499,0.4822031758372499,C,qwen3.5-4b/responses/original/RGOCG8-50_8mm/Gear_Small.json,0.1465881469954758,0.1465881469954758,0.1465881469954758,0.49371368244407626,0.49371368244407626,0.49371368244407626,-0.19228898603565564,-0.19228898603565564
qwen3.5:4b,original,USB_Male,USB_Male,Gear_Small,gear,False,False,False,C,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/USB_Male/Gear_Small.json,0.05372102051557933,0.05372102051557933,0.05372102051557933,0.8176761880203947,0.8176761880203947,0.8176761880203947,C,qwen3.5-4b/responses/original/USB_Male/Gear_Small.json,0.03650748815434634,0.03650748815434634,0.03650748815434634,0.860498183722287,0.860498183722287,0.860498183722287,-0.01721353236123299,-0.01721353236123299
qwen3.5:4b,original,DSUB_Male,DSUB_Male,Gear_Small,gear,False,False,False,C,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/DSUB_Male/Gear_Small.json,0.2538499706474925,0.2538499706474925,0.2538499706474925,0.5985845299258261,0.5985845299258261,0.5985845299258261,C,qwen3.5-4b/responses/original/DSUB_Male/Gear_Small.json,0.05305554418451748,0.05305554418451748,0.05305554418451748,0.8489744682202149,0.8489744682202149,0.8489744682202149,-0.20079442646297502,-0.20079442646297502
qwen3.5:4b,original,Gear_Large,gear,Waterproof_Male,Waterproof_Male,False,False,False,C,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/Gear_Large/Waterproof_Male.json,0.13760058439571177,0.13760058439571177,0.13760058439571177,0.5710635313299253,0.5710635313299253,0.5710635313299253,C,qwen3.5-4b/responses/original/Gear_Large/Waterproof_Male.json,0.03871854052419395,0.03871854052419395,0.03871854052419395,0.616281630493526,0.616281630493526,0.616281630493526,-0.09888204387151782,-0.09888204387151782
qwen3.5:4b,original,Gear_Medium,gear,Waterproof_Male,Waterproof_Male,False,False,False,C,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/Gear_Medium/Waterproof_Male.json,0.16876967850993418,0.16876967850993418,0.16876967850993418,0.6100753459399312,0.6100753459399312,0.6100753459399312,C,qwen3.5-4b/responses/original/Gear_Medium/Waterproof_Male.json,0.03871854052419395,0.03871854052419395,0.03871854052419395,0.616281630493526,0.616281630493526,0.616281630493526,-0.13005113798574025,-0.13005113798574025
qwen3.5:4b,original,Gear_Small,gear,Waterproof_Male,Waterproof_Male,False,False,False,C,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/Gear_Small/Waterproof_Male.json,0.1505143778056554,0.1505143778056554,0.1505143778056554,0.540545706745133,0.540545706745133,0.540545706745133,C,qwen3.5-4b/responses/original/Gear_Small/Waterproof_Male.json,0.03871854052419395,0.03871854052419395,0.03871854052419395,0.616281630493526,0.616281630493526,0.616281630493526,-0.11179583728146146,-0.11179583728146146
qwen3.5:4b,original,Waterproof_Male,Waterproof_Male,Waterproof_Male,Waterproof_Male,True,True,False,A,../vlm_four_scene_20260925/raw/qwen3.5-4b/original/Waterproof_Male/Waterproof_Male.json,0.8100212196257536,0.8100212196257536,0.8100212196257536,0.09020523807363821,0.09020523807363821,0.09020523807363821,A,qwen3.5-4b/responses/original/Waterproof_Male/Waterproof_Male.json,0.8729751709970281,0.8729751709970281,0.8729751709970281,0.055018780915478405,0.055018780915478405,0.055018780915478405,0.06295395137127457,0.06295395137127457
