sample_id,cohort,target,ground_truth_object_id,label_only_prediction,label_then_evidence_prediction,label_only_correct,label_then_evidence_correct,label_only_score,label_then_evidence_score,explanation
fresh_akita_black_bowl,additional_objects,black bowl,object_003,object_003,object_003,True,True,0.9999920581810099,0.9992903233093213,Candidate C is a bowl with a black exterior and patterned interior matching the target.
fresh_black_book,additional_objects,book,object_003,object_003,object_003,True,True,1.0,1.0,"The object is a black book with visible pages and a hole on the spine, matching the target ""book""."
fresh_chefmate_8_frypan,additional_objects,frying pan,object_002,object_002,object_002,True,True,1.0,0.999999091165777,Candidate B clearly shows a frying pan with a handle and a shallow cooking surface.
fresh_cookies,additional_objects,cookies,object_005,object_005,object_005,True,True,1.0,1.0,"The label ""COOKIES"" and the image of cookies on the package clearly identify candidate E as cookies."
fresh_glazed_rim_porcelain_ramekin,additional_objects,ramekin,object_005,object_005,object_005,True,True,0.9980728690648153,1.0,"This candidate is a small, round, ribbed container typical of a ramekin."
fresh_moka_pot,additional_objects,moka pot,object_003,object_003,object_003,True,True,1.0,1.0,The object has the distinctive octagonal shape and handle of a moka pot.
fresh_plate,additional_objects,plate,object_003,object_003,object_003,True,True,1.0,1.0,The object is flat and round with a plate-like design and red stripes on the rim.
fresh_porcelain_mug,additional_objects,white mug,object_001,object_001,object_001,True,True,1.0,1.0,"The mug is completely white with a textured surface, matching the target description."
fresh_red_coffee_mug,additional_objects,red mug,object_002,object_002,object_002,True,True,0.9999995679801056,0.9999998063873693,"The mug is red with white decorative patterns, matching the target description of a red mug."
fresh_white_yellow_mug,additional_objects,yellow and white mug,object_002,object_002,object_002,True,True,1.0,1.0,"The mug is half yellow and half white, matching the target description exactly."
fresh_wine_bottle,additional_objects,wine bottle,object_005,object_005,object_005,True,True,1.0,1.0,"The object is a tall, dark bottle with a cork, matching the typical appearance of a wine bottle."
fresh_wooden_tray,additional_objects,wooden tray,object_001,object_001,object_001,True,True,1.0,1.0,"The object is a wooden tray with slats and handles, matching the target description."
task_00_alphabet_soup_state_01,additional_states,alphabet soup,object_005,object_007,object_005,False,True,0.9999996871837232,0.9731362031783409,"The can in E shows a label with ""SO"" and a design consistent with alphabet soup packaging."
task_00_alphabet_soup_state_02,additional_states,alphabet soup,object_005,object_005,object_003,True,False,0.9987995393411512,0.4563314701779981,The can in C has a label with visible letters resembling alphabet soup.
task_00_alphabet_soup_state_03,additional_states,alphabet soup,object_005,object_005,object_005,True,True,0.6384734695161306,0.9492250603272814,The can in E has a label with letters and colors typical of alphabet soup packaging.
task_00_alphabet_soup_state_04,additional_states,alphabet soup,object_005,object_007,object_007,False,False,0.9994703412904241,0.9934685218541628,"The label on the box in G clearly shows ""alphabet soup"" text and soup imagery."
task_00_alphabet_soup_state_05,additional_states,alphabet soup,object_005,object_007,object_005,False,True,0.9975274032511579,0.7945043207104379,The can in E has a label with letters resembling alphabet soup pasta shapes.
task_00_alphabet_soup_state_06,additional_states,alphabet soup,object_005,object_007,object_007,False,False,0.9999944422379315,0.9808074988666632,The box in G has visible letters and colors typical of alphabet soup packaging.
task_00_alphabet_soup_state_07,additional_states,alphabet soup,object_005,object_005,object_005,True,True,0.9975182728864525,0.8654411373220887,The can in E shows a label with letters and a design typical of alphabet soup packaging.
task_00_alphabet_soup_state_08,additional_states,alphabet soup,object_005,object_007,object_005,False,True,0.9996986644778745,0.9999770387510999,The can in E shows a label with letters and colors typical of alphabet soup packaging.
task_00_alphabet_soup_state_09,additional_states,alphabet soup,object_005,object_007,object_005,False,True,0.9999832372181827,0.9341307649391867,"The can in E shows a label with the word ""SOUP"" visible, indicating alphabet soup."
task_00_alphabet_soup_state_10,additional_states,alphabet soup,object_005,object_005,object_007,True,False,0.9698038746272593,0.6234615786952638,"The box labeled ""alphabet soup"" is visible in candidate G."
task_01_cream_cheese_state_01,additional_states,cream cheese,object_006,object_006,object_006,True,True,1.0,1.0,The blue and white packaging with a circular logo matches typical cream cheese container design.
task_01_cream_cheese_state_02,additional_states,cream cheese,object_006,object_006,object_006,True,True,1.0,0.9999996871837232,The blue and white packaging with a dairy product image matches typical cream cheese packaging.
task_01_cream_cheese_state_03,additional_states,cream cheese,object_006,object_006,object_006,True,True,1.0,1.0,The blue and white packaging with a circular logo matches typical cream cheese container design.
task_01_cream_cheese_state_04,additional_states,cream cheese,object_006,object_006,object_006,True,True,1.0,1.0,The blue and white packaging with a swirl design matches typical cream cheese packaging.
task_01_cream_cheese_state_05,additional_states,cream cheese,object_006,object_006,object_006,True,True,1.0,1.0,The blue and white packaging with a circular logo matches typical cream cheese packaging.
task_01_cream_cheese_state_06,additional_states,cream cheese,object_006,object_006,object_006,True,True,1.0,1.0,The blue and white packaging with a circular logo matches typical cream cheese container design.
task_01_cream_cheese_state_07,additional_states,cream cheese,object_006,object_006,object_006,True,True,0.999999448776502,0.9999980183344259,The blue and white packaging with a circular logo matches typical cream cheese container design.
task_01_cream_cheese_state_08,additional_states,cream cheese,object_006,object_006,object_006,True,True,1.0,0.9997795606600332,The blue and white packaging with a circular logo matches typical cream cheese containers.
task_01_cream_cheese_state_09,additional_states,cream cheese,object_006,object_006,object_006,True,True,0.9999996871837232,0.9996972344566767,The packaging shows a cream cheese container with a blue and white label.
task_01_cream_cheese_state_10,additional_states,cream cheese,object_006,object_006,object_006,True,True,1.0,1.0,The blue and white packaging with a cream cheese label is visible on candidate F.
task_02_salad_dressing_state_01,additional_states,salad dressing,object_003,object_003,object_003,True,True,0.9999987335551229,1.0,"The label on the bottle clearly reads ""Ranch Dressing,"" indicating it is salad dressing."
task_02_salad_dressing_state_02,additional_states,salad dressing,object_003,object_003,object_003,True,True,1.0,0.9999988527586979,"The label on the bottle clearly reads ""Ranch Dressing,"" indicating it is salad dressing."
task_02_salad_dressing_state_03,additional_states,salad dressing,object_003,object_003,object_003,True,True,0.9999974223173038,0.9999996871837232,"The label on the bottle clearly reads ""Ranch Dressing,"" indicating it is salad dressing."
task_02_salad_dressing_state_04,additional_states,salad dressing,object_003,object_003,object_003,True,True,0.9999998063873693,1.0,"The label on the bottle clearly reads ""Ranch Dressing,"" indicating it is salad dressing."
task_02_salad_dressing_state_05,additional_states,salad dressing,object_003,object_003,object_003,True,True,0.9999998063873693,0.9999998063873693,"The label on the bottle clearly reads ""Ranch Dressing,"" indicating it is a salad dressing."
task_02_salad_dressing_state_06,additional_states,salad dressing,object_003,object_003,object_003,True,True,0.9999998063873693,1.0,"The label on the bottle clearly reads ""Ranch Dressing,"" indicating it is salad dressing."
task_02_salad_dressing_state_07,additional_states,salad dressing,object_003,object_003,object_003,True,True,1.0,1.0,"The label on the bottle clearly reads ""Ranch Dressing,"" indicating it is salad dressing."
task_02_salad_dressing_state_08,additional_states,salad dressing,object_003,object_003,object_003,True,True,0.9999998063873693,1.0,"The label on the bottle clearly reads ""Ranch Dressing,"" indicating it is salad dressing."
task_02_salad_dressing_state_09,additional_states,salad dressing,object_003,object_003,object_003,True,True,0.9999995679801056,1.0,"The label on the bottle clearly reads ""Ranch Dressing,"" indicating it is salad dressing."
task_02_salad_dressing_state_10,additional_states,salad dressing,object_003,object_003,object_003,True,True,0.9999996871837232,1.0,"The bottle is labeled ""Ranch Dressing,"" which is a type of salad dressing."
task_03_bbq_sauce_state_01,additional_states,bbq sauce,object_005,object_005,object_005,True,True,1.0,0.999997064707474,"The label on this bottle clearly reads ""BBQ Sauce"" with a red cap and brown bottle."
task_03_bbq_sauce_state_02,additional_states,bbq sauce,object_005,object_005,object_006,True,False,1.0,0.9999038520641101,"The label on this bottle clearly reads ""BBQ Sauce"" in red and yellow text."
task_03_bbq_sauce_state_03,additional_states,bbq sauce,object_005,object_005,object_005,True,True,1.0,1.0,"The label on this bottle clearly reads ""BBQ Sauce"" with a red cap and brown bottle."
task_03_bbq_sauce_state_04,additional_states,bbq sauce,object_005,object_005,object_005,True,True,1.0,1.0,"The label on this bottle clearly reads ""BBQ Sauce"" with a red and yellow design."
task_03_bbq_sauce_state_05,additional_states,bbq sauce,object_005,object_005,object_005,True,True,1.0,0.999998137537802,"The label on this bottle clearly reads ""BBQ Sauce"" in yellow and red colors."
