sample_id,partition,task_index,initial_state_index,target_description,provider,model,predicted_object_id,ground_truth_object_id,correct,raw_log_probability,raw_association_likelihood,association_score,score_type,candidate_scores,association_margin,score_unavailable_reason
task_00_alphabet_soup_state_00,calibration,0,0,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_006,object_005,False,-0.07529018819332123,0.9274743051808741,0.9274748977048985,candidate_normalized,"{""object_001"":0.005514966226135049,""object_002"":0.004866940612422836,""object_003"":0.0005129717665380121,""object_004"":0.0037903771601169273,""object_005"":0.005514966226135049,""object_006"":0.9274748977048985,""object_007"":0.052324578288790294,""none"":3.02014963296622e-07}",0.8751503194161082,
task_00_alphabet_soup_state_01,calibration,0,1,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-5.512236498361744e-07,0.999999448776502,0.9999995486493681,candidate_normalized,"{""object_001"":1.2501529821565448e-09,""object_002"":9.237450517400158e-09,""object_003"":1.186112124973713e-08,""object_004"":5.3157857466901464e-08,""object_005"":3.4663244279133835e-07,""object_006"":2.8453350724742548e-08,""object_007"":0.9999995486493681,""none"":7.582561130091251e-10}",0.9999992020169254,
task_00_alphabet_soup_state_02,calibration,0,2,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_005,object_005,True,-0.006739762146025896,0.9932828991117899,,candidate_normalized,,,Candidate-normalized score requires returned log probabilities for every valid candidate label and NONE.
task_00_alphabet_soup_state_03,calibration,0,3,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-0.21580412983894348,0.8058931368339015,0.8058949473334028,candidate_normalized,"{""object_001"":0.0005723256331811171,""object_002"":0.02433590517923214,""object_003"":0.013026071370538484,""object_004"":0.00697235356978475,""object_005"":0.1090660216208446,""object_006"":0.040123124510741445,""object_007"":0.8058949473334028,""none"":9.250782274591594e-06}",0.6968289257125583,
task_00_alphabet_soup_state_04,calibration,0,4,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-8.566264295950532e-05,0.99991434102598,0.9999143687436604,candidate_normalized,"{""object_001"":3.6531686735513144e-08,""object_002"":2.3821652136284404e-07,""object_003"":6.1436850598390304e-06,""object_004"":4.222488873895639e-06,""object_005"":5.828966090953525e-05,""object_006"":1.670026745793576e-05,""object_007"":0.9999143687436604,""none"":4.058303814809679e-10}",0.9998560790827509,
task_00_alphabet_soup_state_05,calibration,0,5,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-0.12601955235004425,0.8815976093098447,0.8815981640105632,candidate_normalized,"{""object_001"":0.00010879784132619252,""object_002"":0.0005525210285950338,""object_003"":0.0031795389897024207,""object_004"":0.0006260883488393543,""object_005"":0.008642883058585122,""object_006"":0.10529187933321349,""object_007"":0.8815981640105632,""none"":1.2738917519491065e-07}",0.7763062846773497,
task_00_alphabet_soup_state_06,calibration,0,6,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-1.843177233240567e-05,0.9999815683975317,0.9999816044907887,candidate_normalized,"{""object_001"":7.338082375264079e-07,""object_002"":6.47583496708116e-07,""object_003"":3.2887003578461405e-06,""object_004"":3.4662646753330896e-07,""object_005"":1.553472051033923e-06,""object_006"":1.1478692133210514e-05,""object_007"":0.9999816044907887,""none"":3.4662646753330896e-07}",0.9999701257986554,
task_00_alphabet_soup_state_07,calibration,0,7,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-0.5655314326286316,0.5680581818748421,0.5680601217517038,candidate_normalized,"{""object_001"":0.007150817595562074,""object_002"":0.010404378209043587,""object_003"":0.011789705072699937,""object_004"":0.0029809042652386214,""object_005"":0.009181831542799626,""object_006"":0.39042149074864374,""object_007"":0.5680601217517038,""none"":1.0750814308612704e-05}",0.1776386310030601,
task_00_alphabet_soup_state_08,calibration,0,8,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_005,object_005,True,-0.00125261174980551,0.9987481724408294,0.9987482400017017,candidate_normalized,"{""object_001"":4.68528935752788e-08,""object_002"":5.037165570149696e-07,""object_003"":7.475816551886477e-05,""object_004"":0.0002609316365315363,""object_005"":0.9987482400017017,""object_006"":4.779129629358059e-06,""object_007"":0.0009107404824029205,""none"":1.476512599189824e-11}",0.9978374995192988,
task_00_alphabet_soup_state_09,calibration,0,9,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-3.128163257315464e-07,0.9999996871837232,0.9999997587014515,candidate_normalized,"{""object_001"":1.7832474161003596e-11,""object_002"":4.599055701768449e-10,""object_003"":1.1628233847186493e-10,""object_004"":3.581748181926277e-10,""object_005"":8.592167222834518e-10,""object_006"":1.2501529542188136e-09,""object_007"":0.9999997587014515,""none"":2.3823698348801182e-07}",0.999999520464468,
