sample_id,target_description,ground_truth_object_id,prediction_changed,with_n_choice,with_n_predicted_object_id,with_n_correct,with_n_raw_sequence_likelihood,with_n_raw_log_probability,no_n_choice,no_n_predicted_object_id,no_n_correct,no_n_raw_sequence_likelihood,no_n_raw_log_probability,likelihood_delta_no_n_minus_with_n
task_00_alphabet_soup_state_00,alphabet soup,object_005,True,E,object_005,True,0.6176166934180721,-0.48188725113868713,F,object_006,False,0.9808714879979001,-0.019313829019665718,0.363254794579828
task_01_cream_cheese_state_00,cream cheese,object_006,False,F,object_006,True,0.9999995679801056,-4.320199877838604e-07,F,object_006,True,1.0,0.0,4.3201989441410404e-07
task_02_salad_dressing_state_00,salad dressing,object_003,False,C,object_003,True,1.0,0.0,C,object_003,True,1.0,0.0,0.0
task_03_bbq_sauce_state_00,bbq sauce,object_005,False,E,object_005,True,1.0,0.0,E,object_005,True,1.0,0.0,0.0
task_04_ketchup_state_00,ketchup,object_003,False,C,object_003,True,1.0,0.0,C,object_003,True,1.0,0.0,0.0
task_05_tomato_sauce_state_00,tomato sauce,object_003,True,C,object_003,True,1.0,0.0,E,object_005,False,1.0,0.0,0.0
task_06_butter_state_00,butter,object_007,False,G,object_007,True,1.0,0.0,G,object_007,True,1.0,0.0,0.0
task_07_milk_state_00,milk,object_002,False,B,object_002,True,1.0,0.0,B,object_002,True,0.9999998063873693,-1.9361264946837764e-07,-1.9361263070560852e-07
task_08_chocolate_pudding_state_00,chocolate pudding,object_007,False,G,object_007,True,0.9999996871837232,-3.128163257315464e-07,G,object_007,True,1.0,0.0,3.12816276770711e-07
task_09_orange_juice_state_00,orange juice,object_003,False,C,object_003,True,1.0,0.0,C,object_003,True,1.0,0.0,0.0
