model,condition,false_match_budget,family_retained_lower,unrelated_accepted_upper,own_retained_lower,threshold,selection
qwen3.5:4b,baseline,0,5,0,4,0.8870468737447404,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
qwen3.5:4b,baseline,2,36,2,16,0.7939588468329908,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
qwen3.5:4b,baseline,5,55,5,26,0.7338775387336851,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
qwen3.5:4b,baseline,8,66,8,30,0.6959017021453745,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
qwen3.5:4b,baseline,14,88,14,39,0.6025005025449773,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
qwen3.5:4b,baseline,20,90,20,40,0.5321689700870306,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
qwen3.5:4b,family_ablation,0,43,0,15,0.9006081215441512,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
qwen3.5:4b,family_ablation,2,70,2,28,0.8676931253170184,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
qwen3.5:4b,family_ablation,5,75,5,31,0.8566402820385145,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
qwen3.5:4b,family_ablation,8,83,6,36,0.7844842023091715,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
qwen3.5:4b,family_ablation,14,89,14,39,0.7337578471166589,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
qwen3.5:4b,family_ablation,20,94,17,41,0.6991695150825163,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
qwen3.5:9b,baseline,0,14,0,5,0.9901540870833156,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
qwen3.5:9b,baseline,2,41,2,22,0.9860861303394899,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
qwen3.5:9b,baseline,5,67,5,31,0.9791847465539907,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
qwen3.5:9b,baseline,8,71,8,34,0.9776588073208066,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
qwen3.5:9b,baseline,14,80,14,37,0.9735164047724816,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
qwen3.5:9b,baseline,20,85,18,38,0.9704651829630546,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
qwen3.5:9b,family_ablation,0,0,0,0,1.0,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
qwen3.5:9b,family_ablation,2,83,2,36,0.9594019668858315,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
qwen3.5:9b,family_ablation,5,87,3,38,0.9386364198610315,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
qwen3.5:9b,family_ablation,8,93,7,41,0.877113223591023,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
qwen3.5:9b,family_ablation,14,100,9,44,0.847929000337853,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
qwen3.5:9b,family_ablation,20,100,9,44,0.847929000337853,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
gemma4:12b,baseline,0,2,0,1,0.9999982118606638,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
gemma4:12b,baseline,2,47,2,20,0.9999945163727091,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
gemma4:12b,baseline,5,70,5,33,0.9999744892118427,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
gemma4:12b,baseline,8,70,5,33,0.9999744892118427,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
gemma4:12b,baseline,14,79,14,35,0.9999591112129183,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
gemma4:12b,baseline,20,82,18,36,0.9999437332158462,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
gemma4:12b,family_ablation,0,37,0,13,0.9999964237213419,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
gemma4:12b,family_ablation,2,80,2,34,0.9999934434891956,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
gemma4:12b,family_ablation,5,93,5,40,0.9999656677246228,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
gemma4:12b,family_ablation,8,98,7,43,0.999952793122396,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
gemma4:12b,family_ablation,14,100,13,44,0.9889896515517391,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
gemma4:12b,family_ablation,20,100,13,44,0.9889896515517391,"Optimistic development-set selection: maximize family retention, then minimize unrelated accepts, then maximize own retention, then higher cutoff. Not held-out validation."
