sample_id,partition,task_index,initial_state_index,target_description,ground_truth_object_id,input_sha256,localization_sha256,condition,provider,model,generated_output_text,choice,predicted_object_id,explanation,explanation_word_count,format_valid,decision_tokens,decision_token_count,output_token_count,raw_log_probability,raw_sequence_likelihood,decision_character_span,correct,score_type,candidate_map,image_sha256,request_sha256,response_path,response_sha256
task_00_alphabet_soup_state_00,calibration,0,0,alphabet soup,object_005,5ad352d21ef0adfb9bc68e1bb1b8efe6a84c76ef5493f73681622cbfa8503cef,2af838887f59b0f2b235b949a86136698df218526fd38d2cdbb385a734f406ae,evidence_then_label,openai,gpt-4.1-mini-2025-04-14,"The can in B shows a label with images of alphabet soup ingredients and typical soup can design.  
B",B,object_002,The can in B shows a label with images of alphabet soup ingredients and typical soup can design.,18,True,"[{""index"":20,""token"":""B"",""logprob"":0.0}]",1,21,0.0,1.0,"[99,100]",False,raw_label_likelihood,"{""A"":""object_001"",""B"":""object_002"",""C"":""object_003"",""D"":""object_004"",""E"":""object_005"",""F"":""object_006"",""G"":""object_007""}",8714fd30d9000bf1f3b4dee2451ef79dbb426032f7603416988fbbe855e3c0a0,6f730c0ff66941317cee0b7d8880fc77f040612354e113a5c11c66eea515938f,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_pilot/responses/task_00_alphabet_soup_state_00_evidence_then_label.json,c965edf15cab764f3400c207a908dc656ec3f6a6fe9bb72bdcdd64365366ccac
task_00_alphabet_soup_state_00,calibration,0,0,alphabet soup,object_005,5ad352d21ef0adfb9bc68e1bb1b8efe6a84c76ef5493f73681622cbfa8503cef,2af838887f59b0f2b235b949a86136698df218526fd38d2cdbb385a734f406ae,label_only,openai,gpt-4.1-mini-2025-04-14,F,F,object_006,,0,True,"[{""index"":0,""token"":""F"",""logprob"":-0.20266515016555786}]",1,1,-0.20266515016555786,0.8165516178270771,"[0,1]",False,raw_label_likelihood,"{""A"":""object_001"",""B"":""object_002"",""C"":""object_003"",""D"":""object_004"",""E"":""object_005"",""F"":""object_006"",""G"":""object_007""}",8714fd30d9000bf1f3b4dee2451ef79dbb426032f7603416988fbbe855e3c0a0,1ccc64c380123a75336ca30b95c2eb533b05f628f45ea1274bc8a025068df1cb,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_pilot/responses/task_00_alphabet_soup_state_00_label_only.json,9992f6f1e14b9275e8bb6939dce77e89adae299d3c56e270791177846a8a3120
task_00_alphabet_soup_state_00,calibration,0,0,alphabet soup,object_005,5ad352d21ef0adfb9bc68e1bb1b8efe6a84c76ef5493f73681622cbfa8503cef,2af838887f59b0f2b235b949a86136698df218526fd38d2cdbb385a734f406ae,label_then_evidence,openai,gpt-4.1-mini-2025-04-14,"B
The can in B shows a label with orange shapes typical of alphabet soup cans.",B,object_002,The can in B shows a label with orange shapes typical of alphabet soup cans.,15,True,"[{""index"":0,""token"":""B"",""logprob"":-0.5770280957221985}]",1,18,-0.5770280957221985,0.5615648059387539,"[0,1]",False,raw_label_likelihood,"{""A"":""object_001"",""B"":""object_002"",""C"":""object_003"",""D"":""object_004"",""E"":""object_005"",""F"":""object_006"",""G"":""object_007""}",8714fd30d9000bf1f3b4dee2451ef79dbb426032f7603416988fbbe855e3c0a0,69872426f9efbb77b3f7f0f71daef3b0246ebb87c14b7672e9710c2280acb3fc,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_pilot/responses/task_00_alphabet_soup_state_00_label_then_evidence.json,f3d6ce5fe73ecdc79ab3e138e74f164af9d80ac375595c4e794aef15a7425980
task_01_cream_cheese_state_00,calibration,1,0,cream cheese,object_006,cb42e2575aff2a3401c65ad5a6712521721b662263977e078d61eb0e6912c997,bf2bfe66995370e2cd27dfdbd0e64a3411da9fdc58f46031c595855bfbfdcb72,evidence_then_label,openai,gpt-4.1-mini-2025-04-14,"The container labeled ""cream cheese"" is the small blue box with a circular logo on top.  
F",F,object_006,"The container labeled ""cream cheese"" is the small blue box with a circular logo on top.",16,True,"[{""index"":20,""token"":""F"",""logprob"":0.0}]",1,21,0.0,1.0,"[90,91]",True,raw_label_likelihood,"{""A"":""object_001"",""B"":""object_002"",""C"":""object_003"",""D"":""object_004"",""E"":""object_005"",""F"":""object_006"",""G"":""object_007""}",577ab7da88ec0fd479606d7066c9b003ec63d14b98c36f7949955b3ba9016849,5239643c355e906b0d2623c148f123787e79af793e07c48cd8f74795799010f9,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_pilot/responses/task_01_cream_cheese_state_00_evidence_then_label.json,184140ad43d2462924dd1660c994c92041776f6e66febae0446f5057976c2e0f
task_01_cream_cheese_state_00,calibration,1,0,cream cheese,object_006,cb42e2575aff2a3401c65ad5a6712521721b662263977e078d61eb0e6912c997,bf2bfe66995370e2cd27dfdbd0e64a3411da9fdc58f46031c595855bfbfdcb72,label_only,openai,gpt-4.1-mini-2025-04-14,F,F,object_006,,0,True,"[{""index"":0,""token"":""F"",""logprob"":0.0}]",1,1,0.0,1.0,"[0,1]",True,raw_label_likelihood,"{""A"":""object_001"",""B"":""object_002"",""C"":""object_003"",""D"":""object_004"",""E"":""object_005"",""F"":""object_006"",""G"":""object_007""}",577ab7da88ec0fd479606d7066c9b003ec63d14b98c36f7949955b3ba9016849,d574754d649360855b902a476813013873239090389a8d022e9f4c22a1851e25,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_pilot/responses/task_01_cream_cheese_state_00_label_only.json,854e8101f957ccd683951b91b986b204ec4b33a46a8352e06c934520fb715676
task_01_cream_cheese_state_00,calibration,1,0,cream cheese,object_006,cb42e2575aff2a3401c65ad5a6712521721b662263977e078d61eb0e6912c997,bf2bfe66995370e2cd27dfdbd0e64a3411da9fdc58f46031c595855bfbfdcb72,label_then_evidence,openai,gpt-4.1-mini-2025-04-14,"F
The blue and white packaging with a circular logo matches typical cream cheese packaging.",F,object_006,The blue and white packaging with a circular logo matches typical cream cheese packaging.,14,True,"[{""index"":0,""token"":""F"",""logprob"":-0.00020520923135336488}]",1,17,-0.00020520923135336488,0.9997948118226208,"[0,1]",True,raw_label_likelihood,"{""A"":""object_001"",""B"":""object_002"",""C"":""object_003"",""D"":""object_004"",""E"":""object_005"",""F"":""object_006"",""G"":""object_007""}",577ab7da88ec0fd479606d7066c9b003ec63d14b98c36f7949955b3ba9016849,557b5bff3ec1d1177f5347ed93281895325b62fe9f555727d34b05d68f7178b2,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_pilot/responses/task_01_cream_cheese_state_00_label_then_evidence.json,3aa470560790d1ce05ef504421bedf2a16b5a63e6cedd5b51ccd918ab7848377
task_02_salad_dressing_state_00,calibration,2,0,salad dressing,object_003,db39b74d92df3478f4f078e49c8e7c652f64e0e0fb37fbd341e2ffefdebfb0eb,6c96c38969c00c6348bfe9cf86524ce64a3d6ffebeb310db728fb157eb47063f,evidence_then_label,openai,gpt-4.1-mini-2025-04-14,"The bottle is labeled ""Creamy Ranch Dressing,"" indicating it is salad dressing.  
C",C,object_003,"The bottle is labeled ""Creamy Ranch Dressing,"" indicating it is salad dressing.",12,True,"[{""index"":17,""token"":""C"",""logprob"":0.0}]",1,18,0.0,1.0,"[82,83]",True,raw_label_likelihood,"{""A"":""object_001"",""B"":""object_002"",""C"":""object_003"",""D"":""object_004"",""E"":""object_005"",""F"":""object_006"",""G"":""object_007""}",1a0164d024d0163fc325132a7fb16f3b4c48dad18a2b1d7fb8bc7f9407ff1b15,16bdfd53026e63e3970b45c1ae3e9312d05d193ab0eca34dcccc471784309888,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_pilot/responses/task_02_salad_dressing_state_00_evidence_then_label.json,f9b58578c9e92ba331c89c74bc3576184a3f65dd61bd3a4994da66e0e2b65733
task_02_salad_dressing_state_00,calibration,2,0,salad dressing,object_003,db39b74d92df3478f4f078e49c8e7c652f64e0e0fb37fbd341e2ffefdebfb0eb,6c96c38969c00c6348bfe9cf86524ce64a3d6ffebeb310db728fb157eb47063f,label_only,openai,gpt-4.1-mini-2025-04-14,C,C,object_003,,0,True,"[{""index"":0,""token"":""C"",""logprob"":0.0}]",1,1,0.0,1.0,"[0,1]",True,raw_label_likelihood,"{""A"":""object_001"",""B"":""object_002"",""C"":""object_003"",""D"":""object_004"",""E"":""object_005"",""F"":""object_006"",""G"":""object_007""}",1a0164d024d0163fc325132a7fb16f3b4c48dad18a2b1d7fb8bc7f9407ff1b15,aa12a4db7d1a7c54d4a2cbe06fce129b2baff67681efbd251d4e73637e3996ad,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_pilot/responses/task_02_salad_dressing_state_00_label_only.json,f06741d95f91a6e8a844303b514298deda29dd724c00590a0219322103698078
task_02_salad_dressing_state_00,calibration,2,0,salad dressing,object_003,db39b74d92df3478f4f078e49c8e7c652f64e0e0fb37fbd341e2ffefdebfb0eb,6c96c38969c00c6348bfe9cf86524ce64a3d6ffebeb310db728fb157eb47063f,label_then_evidence,openai,gpt-4.1-mini-2025-04-14,"C
The label on the bottle clearly reads ""Ranch Dressing,"" indicating it is salad dressing.",C,object_003,"The label on the bottle clearly reads ""Ranch Dressing,"" indicating it is salad dressing.",14,True,"[{""index"":0,""token"":""C"",""logprob"":0.0}]",1,20,0.0,1.0,"[0,1]",True,raw_label_likelihood,"{""A"":""object_001"",""B"":""object_002"",""C"":""object_003"",""D"":""object_004"",""E"":""object_005"",""F"":""object_006"",""G"":""object_007""}",1a0164d024d0163fc325132a7fb16f3b4c48dad18a2b1d7fb8bc7f9407ff1b15,a68f52caaaa3ba6df66455b6f258b14a6ec504e7469f862c6c98491819c7205a,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_pilot/responses/task_02_salad_dressing_state_00_label_then_evidence.json,d6dbbe9f2b2056c210decde54dcb64b544022c1f9a0a5ff784b6470e685a1559
task_03_bbq_sauce_state_00,calibration,3,0,bbq sauce,object_005,b28c444e108b5aecd7a9d9a999d378dd5ade05dabfdbd98c149255523bcf121d,0916e75bd13552776a79995f27ffc64fae4b82ebed9c01a8b49d916b6e5665ca,evidence_then_label,openai,gpt-4.1-mini-2025-04-14,"The label on this bottle clearly reads ""BBQ Sauce"" with a red and yellow design.  
E",E,object_005,"The label on this bottle clearly reads ""BBQ Sauce"" with a red and yellow design.",15,True,"[{""index"":20,""token"":""E"",""logprob"":0.0}]",1,21,0.0,1.0,"[83,84]",True,raw_label_likelihood,"{""A"":""object_001"",""B"":""object_002"",""C"":""object_003"",""D"":""object_004"",""E"":""object_005"",""F"":""object_006"",""G"":""object_007""}",8c1b5c16907973f9e5c3af8eda0f0fec644e535ddadc7267be0bd7f64a734849,f0e8c8e1159d1fbddf0087d8d73643d711487231222b15aa8f019141289e3a36,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_pilot/responses/task_03_bbq_sauce_state_00_evidence_then_label.json,b9f2d55e43f16d687f7a3260130f93ec190771e922c494f6d4bdebec43b41812
