sample_id,cohort,partition,target_description,ground_truth_object_id,initial_state_index,input_sha256,localization_sha256,condition,model,provider,generated_output_text,choice,predicted_object_id,explanation,explanation_word_count,format_valid,decision_tokens,decision_token_count,output_token_count,raw_log_probability,raw_sequence_likelihood,decision_character_span,candidate_map,correct,image_sha256,request_sha256,response_path,response_sha256,score_type
fresh_akita_black_bowl,additional_objects,exploratory_new_objects,black bowl,object_003,,b7259d2c940fd34a3d3726946745755c6c9aa3bf1dc409bdad4baaba30de4d4a,275d032da4c640b61ad68ef14892ff6dd351521bcfa5de333602bb2a83cd22ec,label_only,gpt-4.1-mini-2025-04-14,openai,C,C,object_003,,0,True,"[{""index"":0,""token"":""C"",""logprob"":-7.941850526549388e-06}]",1,1,-7.941850526549388e-06,0.9999920581810099,"[0,1]","{""A"":""object_001"",""B"":""object_002"",""C"":""object_003""}",True,259cbab5e30424474726a70eeed796a37d0cf1def4a3012d9591c4ec41a723b1,4974edd9ae03d677a385159bc0bf1c92efca4fef54517b30411c7374a801b99f,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_expansion/responses/fresh_akita_black_bowl_label_only.json,7c4fd6779785ed5cffc96fab3e6bb63d4daa17d05918881f7781b83eb17066d7,raw_label_likelihood
fresh_akita_black_bowl,additional_objects,exploratory_new_objects,black bowl,object_003,,b7259d2c940fd34a3d3726946745755c6c9aa3bf1dc409bdad4baaba30de4d4a,275d032da4c640b61ad68ef14892ff6dd351521bcfa5de333602bb2a83cd22ec,label_then_evidence,gpt-4.1-mini-2025-04-14,openai,"C
Candidate C is a bowl with a black exterior and patterned interior matching the target.",C,object_003,Candidate C is a bowl with a black exterior and patterned interior matching the target.,15,True,"[{""index"":0,""token"":""C"",""logprob"":-0.0007099286303855479}]",1,18,-0.0007099286303855479,0.9992903233093213,"[0,1]","{""A"":""object_001"",""B"":""object_002"",""C"":""object_003""}",True,259cbab5e30424474726a70eeed796a37d0cf1def4a3012d9591c4ec41a723b1,338fbd305f46ca4a0fd0866caa9cce6b6b0f2905b2db2089a73411eb69287aad,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_expansion/responses/fresh_akita_black_bowl_label_then_evidence.json,e3550465c5e36154184382f96f7975212ac69325530c82b8c991cf90cb444ec6,raw_label_likelihood
fresh_black_book,additional_objects,exploratory_new_objects,book,object_003,,baaa79eab0888d826182eaed47bba301871dc8caf27d335238be461faca6b69c,77ac79e442d52dd4964e913c9715821568532c62863ccbb8d0f0cf7c81cc4663,label_only,gpt-4.1-mini-2025-04-14,openai,C,C,object_003,,0,True,"[{""index"":0,""token"":""C"",""logprob"":0.0}]",1,1,0.0,1.0,"[0,1]","{""A"":""object_001"",""B"":""object_002"",""C"":""object_003""}",True,443fcb6282151ad34c9681ee92c763eae16401018f9a48b4d87c69f79183def5,434812fe8bbf8d8a7dccc4de29b1fccec3c621b98c16b69d87f35bbd85b332bc,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_expansion/responses/fresh_black_book_label_only.json,8dbd583d0df4da9be1ba42caef83d6add2b9a12965a3ddafadc190d214d5fa99,raw_label_likelihood
fresh_black_book,additional_objects,exploratory_new_objects,book,object_003,,baaa79eab0888d826182eaed47bba301871dc8caf27d335238be461faca6b69c,77ac79e442d52dd4964e913c9715821568532c62863ccbb8d0f0cf7c81cc4663,label_then_evidence,gpt-4.1-mini-2025-04-14,openai,"C
The object is a black book with visible pages and a hole on the spine, matching the target ""book"".",C,object_003,"The object is a black book with visible pages and a hole on the spine, matching the target ""book"".",19,True,"[{""index"":0,""token"":""C"",""logprob"":0.0}]",1,24,0.0,1.0,"[0,1]","{""A"":""object_001"",""B"":""object_002"",""C"":""object_003""}",True,443fcb6282151ad34c9681ee92c763eae16401018f9a48b4d87c69f79183def5,4c5df4ea2d21594ecade609b043cf23a44adcf97c03323edc3a578648e25993d,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_expansion/responses/fresh_black_book_label_then_evidence.json,8a33cb7a3cc19d21ee92d5fe259a8d2e971969f79287fbd84977f07c7cfae859,raw_label_likelihood
fresh_chefmate_8_frypan,additional_objects,exploratory_new_objects,frying pan,object_002,,4d4d7ce8c684d8bba09a0365a8ebb79e76e52fdc8d338c597bfa623cd202197c,59bcc4f5eda5ba8e28cdcc6d211a78987187f2a00f3c8b26b11ef4885f3af092,label_only,gpt-4.1-mini-2025-04-14,openai,B,B,object_002,,0,True,"[{""index"":0,""token"":""B"",""logprob"":0.0}]",1,1,0.0,1.0,"[0,1]","{""A"":""object_001"",""B"":""object_002"",""C"":""object_003""}",True,2d9fd7bd81f4f9e71031455ca708be91f419a2d7b10ec243f90578b7e6f24d5b,89b045fbbd581a63027656bf94fa626688dab6d9cc1f224ef3b9e99c55ed6e0e,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_expansion/responses/fresh_chefmate_8_frypan_label_only.json,5c1b7f22e9f4e4f27368aca8be14e04049c59a4c70369b5083bfb50dfc01e302,raw_label_likelihood
fresh_chefmate_8_frypan,additional_objects,exploratory_new_objects,frying pan,object_002,,4d4d7ce8c684d8bba09a0365a8ebb79e76e52fdc8d338c597bfa623cd202197c,59bcc4f5eda5ba8e28cdcc6d211a78987187f2a00f3c8b26b11ef4885f3af092,label_then_evidence,gpt-4.1-mini-2025-04-14,openai,"B
Candidate B clearly shows a frying pan with a handle and a shallow cooking surface.",B,object_002,Candidate B clearly shows a frying pan with a handle and a shallow cooking surface.,15,True,"[{""index"":0,""token"":""B"",""logprob"":-9.088346359931165e-07}]",1,18,-9.088346359931165e-07,0.999999091165777,"[0,1]","{""A"":""object_001"",""B"":""object_002"",""C"":""object_003""}",True,2d9fd7bd81f4f9e71031455ca708be91f419a2d7b10ec243f90578b7e6f24d5b,2bc7099d47f93ac02d36a12d7bb0461d20832f82f8dd705d6f2ce655102da2fd,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_expansion/responses/fresh_chefmate_8_frypan_label_then_evidence.json,e881afc2a0a208b28c24f3a8cc138bc78251584a0471bee7b5021f72a70590ee,raw_label_likelihood
fresh_cookies,additional_objects,exploratory_new_objects,cookies,object_005,,53d70dae97b43ab194372a0ce1ef2fe38f6bdc26ac32199a6f5c1d2ab5a4a12e,6bc807445cc8c2db70f5284f5525942213d472dfcbdea6bd36c1d7756b470251,label_only,gpt-4.1-mini-2025-04-14,openai,E,E,object_005,,0,True,"[{""index"":0,""token"":""E"",""logprob"":0.0}]",1,1,0.0,1.0,"[0,1]","{""A"":""object_001"",""B"":""object_002"",""C"":""object_003"",""D"":""object_004"",""E"":""object_005""}",True,0a59da2e753b24d04f3b60f712bac74fb6df591852b775892a5081035f5d5404,4e262a26448764297284d26f762c480dca56ca3a1de0baa3a37f6bf61cfcda43,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_expansion/responses/fresh_cookies_label_only.json,1135f1baabf9e6dc0b5d6fe7c1c27a969457b2f3688215e424dfd9e300b9404f,raw_label_likelihood
fresh_cookies,additional_objects,exploratory_new_objects,cookies,object_005,,53d70dae97b43ab194372a0ce1ef2fe38f6bdc26ac32199a6f5c1d2ab5a4a12e,6bc807445cc8c2db70f5284f5525942213d472dfcbdea6bd36c1d7756b470251,label_then_evidence,gpt-4.1-mini-2025-04-14,openai,"E
The label ""COOKIES"" and the image of cookies on the package clearly identify candidate E as cookies.",E,object_005,"The label ""COOKIES"" and the image of cookies on the package clearly identify candidate E as cookies.",17,True,"[{""index"":0,""token"":""E"",""logprob"":0.0}]",1,24,0.0,1.0,"[0,1]","{""A"":""object_001"",""B"":""object_002"",""C"":""object_003"",""D"":""object_004"",""E"":""object_005""}",True,0a59da2e753b24d04f3b60f712bac74fb6df591852b775892a5081035f5d5404,58b7fd609c2828385a91a4daf3eba4ed8f6fcdf6a7bf23773c474322fcbea7e2,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_expansion/responses/fresh_cookies_label_then_evidence.json,5898a6d94f8340620f1d55168f00d279b257571c17ff726549ca9c0323a0cfa1,raw_label_likelihood
fresh_glazed_rim_porcelain_ramekin,additional_objects,exploratory_new_objects,ramekin,object_005,,0281bc92348c15e16fc0a0dbf145f4e88bddfe438a12e2a71f4f94b5e573b192,6417931f2e9a6f0e45a0c6ee4e9f061406168f30b306c2cb0ecc58bc39d0eb21,label_only,gpt-4.1-mini-2025-04-14,openai,E,E,object_005,,0,True,"[{""index"":0,""token"":""E"",""logprob"":-0.0019289902411401272}]",1,1,-0.0019289902411401272,0.9980728690648153,"[0,1]","{""A"":""object_001"",""B"":""object_002"",""C"":""object_003"",""D"":""object_004"",""E"":""object_005"",""F"":""object_006""}",True,0b20d955107cb5b3300ea3e272c3dc2291607ff50e58f397d13acddff91af25f,1cfb0993ecd2d696b018362c2513a27f6485f1da055f013209d00af3a695156c,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_expansion/responses/fresh_glazed_rim_porcelain_ramekin_label_only.json,386395bb3dee50d0ceaa5c8fdce204a98fc4dc227db62d71733844f925ebb2e1,raw_label_likelihood
fresh_glazed_rim_porcelain_ramekin,additional_objects,exploratory_new_objects,ramekin,object_005,,0281bc92348c15e16fc0a0dbf145f4e88bddfe438a12e2a71f4f94b5e573b192,6417931f2e9a6f0e45a0c6ee4e9f061406168f30b306c2cb0ecc58bc39d0eb21,label_then_evidence,gpt-4.1-mini-2025-04-14,openai,"E
This candidate is a small, round, ribbed container typical of a ramekin.",E,object_005,"This candidate is a small, round, ribbed container typical of a ramekin.",12,True,"[{""index"":0,""token"":""E"",""logprob"":0.0}]",1,19,0.0,1.0,"[0,1]","{""A"":""object_001"",""B"":""object_002"",""C"":""object_003"",""D"":""object_004"",""E"":""object_005"",""F"":""object_006""}",True,0b20d955107cb5b3300ea3e272c3dc2291607ff50e58f397d13acddff91af25f,0afcbc141f4f68f5f323440f0cbda5a2d7d997f4cfcd96e64abe98567d631003,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_expansion/responses/fresh_glazed_rim_porcelain_ramekin_label_then_evidence.json,71b3146f1297cf61e8f3f5828c34b16e06f428877e0736388aaa562fb4427bca,raw_label_likelihood
